MIL2A_IDis,MIL2A_IDna,MIL2A_Area,MIL2A_IDcu,MIL1B_IDcu,MIL1B_Area,G_CentrX,G_CentrY,Area
"1514648",Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,8450,490831,509024.26323,5031432.55709,233987
"1514648",Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,8623,2251795,510524.26323,5032932.55709,153179
"1514648",Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,8624,2233327,510524.26323,5031432.55709,1535404
"1514648",Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,8625,1575825,510524.26323,5029932.55709,11363
"1514648",Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,8797,2251793,512024.26323,5032932.55709,66961
"1514648",Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,8798,2251793,512024.26323,5031432.55709,407037
"1514664",Milano - TRENNO,490083.76,64,8271,1569820,507524.26323,5038932.55709,66
"1514664",Milano - TRENNO,490083.76,64,8272,2251798,507524.26323,5037432.55709,473549
"1514664",Milano - TRENNO,490083.76,64,8446,2251797,509024.26323,5037432.55709,16468
"1514667",Milano - PORTELLO,910327.23,67,8794,2251793,512024.26323,5037432.55709,561867
"1514667",Milano - PORTELLO,910327.23,67,8795,2251793,512024.26323,5035932.55709,348455
"1514667",Milano - PORTELLO,910327.23,67,8969,2251791,513524.26323,5035932.55709,5
"1514681",Milano - BOVISASCA,1579284.78,81,8618,1929422,510524.26323,5040432.55709,10573
"1514681",Milano - BOVISASCA,1579284.78,81,8792,1999684,512024.26323,5040432.55709,1350605
"1514681",Milano - BOVISASCA,1579284.78,81,8793,2251793,512024.26323,5038932.55709,30760
"1514681",Milano - BOVISASCA,1579284.78,81,8966,2251791,513524.26323,5040432.55709,182936
"1514684",Milano - PARCO NORD,1533550.71,84,8965,1860812,513524.26323,5041932.55709,318726
"1514684",Milano - PARCO NORD,1533550.71,84,8966,2251791,513524.26323,5040432.55709,417529
"1514684",Milano - PARCO NORD,1533550.71,84,8967,2251791,513524.26323,5038932.55709,33759
"1514684",Milano - PARCO NORD,1533550.71,84,9139,807860,515024.26323,5041932.55709,535796
"1514684",Milano - PARCO NORD,1533550.71,84,9140,2251789,515024.26323,5040432.55709,193276
"1514684",Milano - PARCO NORD,1533550.71,84,9141,2251789,515024.26323,5038932.55709,30568
"1514684",Milano - PARCO NORD,1533550.71,84,9313,708696,516524.26323,5041932.55709,388
"1514663",Milano - FIGINO,1425798.85,63,7923,746439,504524.26323,5038932.55709,5669
"1514663",Milano - FIGINO,1425798.85,63,7924,494032,504524.26323,5037432.55709,67580
"1514663",Milano - FIGINO,1425798.85,63,8097,558217,506024.26323,5038932.55709,45643
"1514663",Milano - FIGINO,1425798.85,63,8098,2250291,506024.26323,5037432.55709,1306908
"1514620",Milano - LORETO - CASORETTO - NOLO,1748884.66,20,9315,2251786,516524.26323,5038932.55709,28930
"1514620",Milano - LORETO - CASORETTO - NOLO,1748884.66,20,9316,2251786,516524.26323,5037432.55709,752632
"1514620",Milano - LORETO - CASORETTO - NOLO,1748884.66,20,9489,2251783,518024.26323,5038932.55709,13929
"1514620",Milano - LORETO - CASORETTO - NOLO,1748884.66,20,9490,2251783,518024.26323,5037432.55709,953394
"1514676",Milano - QUARTO OGGIARO - VIALBA - MUSOC,2779087.34,76,8444,1817917,509024.26323,5040432.55709,79713
"1514676",Milano - QUARTO OGGIARO - VIALBA - MUSOC,2779087.34,76,8618,1929422,510524.26323,5040432.55709,1625853
"1514676",Milano - QUARTO OGGIARO - VIALBA - MUSOC,2779087.34,76,8619,2251795,510524.26323,5038932.55709,532421
"1514676",Milano - QUARTO OGGIARO - VIALBA - MUSOC,2779087.34,76,8792,1999684,512024.26323,5040432.55709,357226
"1514676",Milano - QUARTO OGGIARO - VIALBA - MUSOC,2779087.34,76,8793,2251793,512024.26323,5038932.55709,182815
"1514611",Milano - ISOLA,1323939.00,11,8968,2251791,513524.26323,5037432.55709,40660
"1514611",Milano - ISOLA,1323939.00,11,9141,2251789,515024.26323,5038932.55709,16145
"1514611",Milano - ISOLA,1323939.00,11,9142,2251789,515024.26323,5037432.55709,1267134
"1514661",Milano - QUARTO CAGNINO,987142.26,61,8273,2251798,507524.26323,5035932.55709,350925
"1514661",Milano - QUARTO CAGNINO,987142.26,61,8447,2251797,509024.26323,5035932.55709,604757
"1514661",Milano - QUARTO CAGNINO,987142.26,61,8448,2251797,509024.26323,5034432.55709,31460
"1514660",Milano - STADIO - IPPODROMI,3437921.83,60,8446,2251797,509024.26323,5037432.55709,604684
"1514660",Milano - STADIO - IPPODROMI,3437921.83,60,8447,2251797,509024.26323,5035932.55709,1278559
"1514660",Milano - STADIO - IPPODROMI,3437921.83,60,8448,2251797,509024.26323,5034432.55709,2856
"1514660",Milano - STADIO - IPPODROMI,3437921.83,60,8620,2251795,510524.26323,5037432.55709,93120
"1514660",Milano - STADIO - IPPODROMI,3437921.83,60,8621,2251795,510524.26323,5035932.55709,1433469
"1514660",Milano - STADIO - IPPODROMI,3437921.83,60,8622,2251795,510524.26323,5034432.55709,25231
"1514662",Milano - QUINTO ROMANO,1647113.79,62,8098,2250291,506024.26323,5037432.55709,96822
"1514662",Milano - QUINTO ROMANO,1647113.79,62,8099,1593716,506024.26323,5035932.55709,656002
"1514662",Milano - QUINTO ROMANO,1647113.79,62,8272,2251798,507524.26323,5037432.55709,376
"1514662",Milano - QUINTO ROMANO,1647113.79,62,8273,2251798,507524.26323,5035932.55709,893914
"1514601",Milano - DUOMO,2343477.39,1,8969,2251791,513524.26323,5035932.55709,72888
"1514601",Milano - DUOMO,2343477.39,1,8970,2251791,513524.26323,5034432.55709,727752
"1514601",Milano - DUOMO,2343477.39,1,9143,2251789,515024.26323,5035932.55709,52408
"1514601",Milano - DUOMO,2343477.39,1,9144,2251789,515024.26323,5034432.55709,1480458
"1514601",Milano - DUOMO,2343477.39,1,9145,2251789,515024.26323,5032932.55709,9972
"1514604",Milano - GUASTALLA,1549191.90,4,9143,2251789,515024.26323,5035932.55709,137582
