MIL2A_IDis,MIL2A_IDna,MIL2A_Area,MIL2A_IDcu,POP_2015,POP_2016,POP_2017,POP_2018,POP_2019,POP_2020,POP_2021,POP_2022,POP_2023
1514648,Milano - RONCHETTO SUL NAVIGLIO - Q.RE L,2408219.66,48,14599.0,14554.0,14517.0,14627.0,14702.0,14563.0,14516.0,14576.0,14576.0
1514664,Milano - TRENNO,490083.76,64,4193.0,4170.0,4112.0,4099.0,4115.0,4043.0,3975.0,3970.0,3970.0
1514667,Milano - PORTELLO,910327.23,67,7908.0,8090.0,8311.0,8524.0,8764.0,8863.0,8858.0,9012.0,9012.0
1514681,Milano - BOVISASCA,1579284.78,81,7108.0,7070.0,7097.0,7037.0,7363.0,7273.0,7230.0,7282.0,7282.0
1514684,Milano - PARCO NORD,1533550.71,84,94.0,101.0,100.0,98.0,101.0,104.0,104.0,98.0,98.0
1514663,Milano - FIGINO,1425798.85,63,1936.0,2060.0,2170.0,2312.0,2436.0,2405.0,2445.0,2543.0,2543.0
1514620,Milano - LORETO - CASORETTO - NOLO,1748884.66,20,44337.0,44705.0,44863.0,45456.0,45464.0,44572.0,44034.0,44004.0,44004.0
1514676,Milano - QUARTO OGGIARO - VIALBA - MUSOC,2779087.34,76,30999.0,30838.0,30634.0,30729.0,30853.0,30729.0,30914.0,31434.0,31434.0
1514611,Milano - ISOLA,1323939.0,11,22603.0,22644.0,22896.0,23132.0,23098.0,22859.0,22690.0,22641.0,22641.0
1514661,Milano - QUARTO CAGNINO,987142.26,61,9666.0,9807.0,9871.0,9958.0,10001.0,9854.0,9801.0,9892.0,9892.0
1514660,Milano - STADIO - IPPODROMI,3437921.83,60,12539.0,12574.0,12691.0,12783.0,12952.0,13080.0,13031.0,13150.0,13150.0
1514662,Milano - QUINTO ROMANO,1647113.79,62,4768.0,4746.0,4706.0,4771.0,4768.0,4736.0,4662.0,4711.0,4711.0
1514601,Milano - DUOMO,2343477.39,1,16634.0,16903.0,16882.0,16889.0,17027.0,16765.0,16706.0,16608.0,16608.0
1514604,Milano - GUASTALLA,1549191.9,4,14929.0,15026.0,15050.0,15176.0,15496.0,15364.0,15369.0,15528.0,15528.0
1514657,Milano - SAN SIRO,985673.62,57,26634.0,26890.0,26576.0,26917.0,27028.0,26586.0,26354.0,26653.0,26653.0
1514682,Milano - COMASINA,927421.17,82,9449.0,9512.0,9524.0,9616.0,9619.0,9495.0,9547.0,9792.0,9792.0
1514643,Milano - TIBALDI,786810.14,43,11469.0,11521.0,11618.0,11664.0,11768.0,11572.0,11463.0,11494.0,11494.0
1514613,Milano - GRECO - SEGNANO,1770006.39,13,15246.0,15394.0,15600.0,15862.0,16064.0,16032.0,16058.0,16137.0,16137.0
1514658,Milano - DE ANGELI - MONTE ROSA,1324083.35,58,20597.0,20887.0,21163.0,21400.0,21535.0,21394.0,21405.0,21663.0,21663.0
1514678,Milano - FARINI,1010997.31,78,3976.0,3957.0,3932.0,3911.0,3836.0,3807.0,3784.0,3790.0,3790.0
1514683,Milano - BRUZZANO,1671770.25,83,12842.0,12868.0,12928.0,12889.0,12802.0,12627.0,12635.0,12697.0,12697.0
1514666,Milano - QT 8,1025215.52,66,4086.0,4034.0,4066.0,4140.0,4154.0,4098.0,4051.0,4039.0,4039.0
1514675,Milano - STEPHENSON,560530.84,75,83.0,79.0,107.0,118.0,114.0,123.0,134.0,157.0,157.0
1514647,Milano - CANTALUPA,927420.03,47,476.0,498.0,510.0,515.0,539.0,551.0,582.0,586.0,586.0
1514639,Milano - QUINTOSOLE,1059363.67,39,803.0,786.0,855.0,925.0,961.0,958.0,935.0,919.0,919.0
1514608,Milano - PARCO SEMPIONE,470794.95,8,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1514646,Milano - BARONA,2007847.19,46,16804.0,16872.0,17018.0,16988.0,16842.0,16616.0,16575.0,16658.0,16658.0
