LMB1D_IDcu,LMB1D_IDor,LMB1D_area,LMB3A_IDcu,LMB3A_Area,Area
1,254,10023664,65,2681638212,9938758
2,253,85116685,65,2681638212,85092565
3,252,85793722,65,2681638212,85793722
4,251,85793722,65,2681638212,76588060
4,251,85793722,89,1783615937,9205855
5,249,65727351,65,2681638212,1201004
5,249,65727351,89,1783615937,64394993
6,250,84962808,65,2681638212,54461143
6,250,84962808,89,1783615937,30500684
7,248,85630145,89,1783615937,85620396
8,247,85793722,89,1783615937,85793722
9,246,85793722,89,1783615937,85793722
10,245,85793722,89,1783615937,85793722
11,244,85793722,72,1319802809,8032030
11,244,85793722,89,1783615937,77761733
12,243,85793722,72,1319802809,85725146
12,243,85793722,89,1783615937,68535
13,242,85793722,72,1319802809,85793722
14,241,85793722,57,784469194,4077822
14,241,85793722,72,1319802809,81723466
15,240,42098457,57,784469194,19952142
15,240,42098457,72,1319802809,21913635
16,117,30261811,65,2681638212,30123166
17,118,60527848,65,2681638212,60265732
18,119,9218978,65,2681638212,9122389
19,142,33432265,72,1319802809,33278781
20,143,31726176,72,1319802809,31503592
21,150,84108547,65,2681638212,84079394
22,151,85330107,65,2681638212,85330107
23,152,84400567,65,2681638212,84330862
24,153,82024563,65,2681638212,81959814
25,154,41702662,65,2681638212,41632603
26,155,13197002,65,2681638212,13100619
27,175,66284167,72,1319802809,66172370
28,176,85484913,72,1319802809,85484913
29,177,15721814,72,1319802809,15519398
30,181,18311221,89,1783615937,18209783
31,183,26945884,65,2681638212,26657825
32,184,82196441,65,2681638212,82133099
33,185,85484913,65,2681638212,85484913
34,186,85484913,65,2681638212,85484913
35,187,83257360,65,2681638212,83180681
36,188,43376950,65,2681638212,43245681
37,208,62437648,72,1319802809,62336062
38,209,85639452,72,1319802809,85639452
39,210,74525326,72,1319802809,74500704
40,211,37941381,72,1319802809,8112963
40,211,37941381,89,1783615937,29752207
41,212,51445770,89,1783615937,51222988
42,213,81122435,89,1783615937,81071200
43,214,85639452,89,1783615937,85639452
44,215,49973612,89,1783615937,49715457
45,216,16136325,65,2681638212,14942625
45,216,16136325,89,1783615937,1063629
46,217,79730677,65,2681638212,79707911
47,218,85639452,65,2681638212,85639452
48,219,85639452,65,2681638212,85639452
49,220,82568924,65,2681638212,82519931
50,221,15049623,65,2681638212,14899256
51,317,86101455,91,605207306,8377470
51,317,86101455,65,2681638212,77725626
52,305,86101455,57,784469194,86101455
53,306,86101455,57,784469194,86101455
54,304,34556986,57,784469194,34263228
55,311,86101455,40,570630459,8037055
55,311,86101455,72,1319802809,10940016
55,311,86101455,89,1783615937,67100458
56,302,63651582,41,362785435,63453648
57,301,47466913,41,362785435,47281393
58,307,86101455,57,784469194,86065392
58,307,86101455,72,1319802809,36029
59,308,86101455,57,784469194,32032596
59,308,86101455,72,1319802809,54162514
60,309,86101455,72,1319802809,86101455
61,310,86101455,72,1319802809,81685500
61,310,86101455,89,1783615937,4414928
62,312,86101455,40,570630459,31124
62,312,86101455,89,1783615937,86070331
63,313,86101455,89,1783615937,86101455
64,314,86101455,91,605207306,1381593
64,314,86101455,40,570630459,10351330
64,314,86101455,89,1783615937,74409939
65,315,86101455,91,605207306,48751853
65,315,86101455,40,570630459,159688
65,315,86101455,89,1783615937,37190057
66,316,86101455,91,605207306,71780695
66,316,86101455,65,2681638212,14269286
67,268,20352214,41,362785435,20301747
68,318,86101455,65,2681638212,86101455
69,319,18693402,65,2681638212,18594970
70,269,37593121,41,362785435,37506088
71,272,54748510,57,784469194,54405575
72,273,85947723,57,784469194,84205331
72,273,85947723,72,1319802809,1742351
73,274,85947723,57,784469194,51376745
73,274,85947723,72,1319802809,34561500
74,275,85947723,57,784469194,2147471
74,275,85947723,72,1319802809,83798783
75,276,85947723,72,1319802809,85947723
76,277,85947723,72,1319802809,44347678
76,277,85947723,89,1783615937,41632964
77,278,85947723,89,1783615937,85947723
78,279,85947723,89,1783615937,85947723
79,280,85947723,89,1783615937,85947723
80,281,85947723,89,1783615937,85947723
81,282,85947723,91,605207306,2906036
81,282,85947723,89,1783615937,83041629
82,283,85947723,91,605207306,1862237
82,283,85947723,65,2681638212,23747007
82,283,85947723,89,1783615937,60360233
83,284,85947723,65,2681638212,79229696
83,284,85947723,89,1783615937,6737988
84,285,85947723,65,2681638212,85947723
85,286,65982315,65,2681638212,65839347
86,374,86408109,33,180195539,41838078
86,374,86408109,50,94169135,1199559
86,374,86408109,48,190536836,42279076
86,374,86408109,45,100002324,300567
86,374,86408109,58,175782618,751885
87,373,86408109,33,180195539,4689370
87,373,86408109,50,94169135,17720907
87,373,86408109,48,190536836,11038557
87,373,86408109,58,175782618,52779092
87,373,86408109,71,62755671,229189
88,372,86408109,49,82526286,10644110
88,372,86408109,58,175782618,75395037
88,372,86408109,71,62755671,324773
89,377,86408109,12,198848160,75826624
89,377,86408109,40,570630459,2378101
89,377,86408109,74,183729366,8203395
90,371,86408109,16,144757280,35429
90,371,86408109,49,82526286,15302704
90,371,86408109,51,47110882,38508977
90,371,86408109,63,94150473,8284576
90,371,86408109,57,784469194,13940230
90,371,86408109,58,175782618,10234078
91,370,70877384,16,144757280,38527562
91,370,70877384,51,47110882,8577960
91,370,70877384,42,124155511,3330947
91,370,70877384,63,94150473,19626060
91,370,70877384,57,784469194,700118
92,369,82622428,16,144757280,60893897
92,369,82622428,41,362785435,1286645
92,369,82622428,42,124155511,12604557
92,369,82622428,64,76265305,7807545
93,368,86408109,16,144757280,9464479
93,368,86408109,24,201681002,4668088
93,368,86408109,27,60748599,546224
93,368,86408109,41,362785435,3144232
93,368,86408109,42,124155511,169550
93,368,86408109,64,76265305,56399061
93,368,86408109,67,218545247,12134266
94,367,86408109,24,201681002,20229381
94,367,86408109,64,76265305,467519
94,367,86408109,67,218545247,65672754
95,366,66490594,67,218545247,66372493
96,375,86408109,33,180195539,50395660
96,375,86408109,48,190536836,35815870
96,375,86408109,72,1319802809,194780
97,376,86408109,17,61807279,4415415
97,376,86408109,12,198848160,51752122
97,376,86408109,33,180195539,18677861
97,376,86408109,48,190536836,11701536
97,376,86408109,72,1319802809,229
98,378,86408109,12,198848160,6599487
98,378,86408109,40,570630459,9066227
98,378,86408109,74,183729366,70732195
99,379,86408109,40,570630459,57875099
99,379,86408109,74,183729366,28548298
100,380,86408109,40,570630459,42026332
100,380,86408109,80,366895138,44367659
101,381,86408109,91,605207306,58989457
101,381,86408109,40,570630459,1888624
